LocationAbbr,LocationDesc,DataSource,Topic,DataValueUnit,DataValueType,DataValue,DataValueAlt
AZ,Arizona,BRFSS,Cancer,%,Age-adjusted Prevalence,,
VT,Vermont,BRFSS,Cancer,%,Age-adjusted Prevalence,,
GU,Guam,BRFSS,Cancer,%,Crude Prevalence,,
PA,Pennsylvania,BRFSS,Cancer,%,Crude Prevalence,,
IL,Illinois,BRFSS,Cancer,%,Crude Prevalence,,
VT,Vermont,BRFSS,Cancer,%,Crude Prevalence,,
WY,Wyoming,BRFSS,Cancer,%,Crude Prevalence,,
GU,Guam,BRFSS,Cancer,%,Age-adjusted Prevalence,,
AR,Arkansas,BRFSS,Cancer,%,Age-adjusted Prevalence,,
AR,Arkansas,BRFSS,Cancer,%,Age-adjusted Prevalence,,
AR,Arkansas,BRFSS,Cancer,%,Age-adjusted Prevalence,,
IL,Illinois,BRFSS,Cancer,%,Age-adjusted Prevalence,,
NY,New York,BRFSS,Cancer,%,Age-adjusted Prevalence,,
IA,Iowa,BRFSS,Cancer,%,Crude Prevalence,,
AR,Arkansas,BRFSS,Cancer,%,Age-adjusted Prevalence,,
NV,Nevada,BRFSS,Cancer,%,Age-adjusted Prevalence,,
IA,Iowa,BRFSS,Cancer,%,Crude Prevalence,,
AL,Alabama,BRFSS,Cancer,%,Age-adjusted Prevalence,,
AL,Alabama,BRFSS,Cancer,%,Age-adjusted Prevalence,,
AR,Arkansas,BRFSS,Cancer,%,Age-adjusted Prevalence,,
AR,Arkansas,BRFSS,Cancer,%,Age-adjusted Prevalence,,
AK,Alaska,BRFSS,Cancer,%,Age-adjusted Prevalence,,
AK,Alaska,BRFSS,Cancer,%,Age-adjusted Prevalence,,
AK,Alaska,BRFSS,Cancer,%,Age-adjusted Prevalence,,
AK,Alaska,BRFSS,Cancer,%,Age-adjusted Prevalence,,
AK,Alaska,BRFSS,Cancer,%,Age-adjusted Prevalence,,
AK,Alaska,BRFSS,Cancer,%,Age-adjusted Prevalence,,
AL,Alabama,BRFSS,Cancer,%,Age-adjusted Prevalence,,
AL,Alabama,BRFSS,Cancer,%,Age-adjusted Prevalence,,
AL,Alabama,BRFSS,Cancer,%,Age-adjusted Prevalence,,
AL,Alabama,BRFSS,Cancer,%,Age-adjusted Prevalence,,
AZ,Arizona,BRFSS,Cancer,%,Age-adjusted Prevalence,,
AZ,Arizona,BRFSS,Cancer,%,Age-adjusted Prevalence,,
AZ,Arizona,BRFSS,Cancer,%,Age-adjusted Prevalence,,
AZ,Arizona,BRFSS,Cancer,%,Age-adjusted Prevalence,,
AZ,Arizona,BRFSS,Cancer,%,Age-adjusted Prevalence,,
CA,California,BRFSS,Cancer,%,Age-adjusted Prevalence,,
CA,California,BRFSS,Cancer,%,Age-adjusted Prevalence,,
CA,California,BRFSS,Cancer,%,Age-adjusted Prevalence,,
CA,California,BRFSS,Cancer,%,Age-adjusted Prevalence,,
CA,California,BRFSS,Cancer,%,Age-adjusted Prevalence,,
CA,California,BRFSS,Cancer,%,Age-adjusted Prevalence,,
CO,Colorado,BRFSS,Cancer,%,Age-adjusted Prevalence,,
CO,Colorado,BRFSS,Cancer,%,Age-adjusted Prevalence,,
CO,Colorado,BRFSS,Cancer,%,Age-adjusted Prevalence,,
CO,Colorado,BRFSS,Cancer,%,Age-adjusted Prevalence,,
CO,Colorado,BRFSS,Cancer,%,Age-adjusted Prevalence,,
CO,Colorado,BRFSS,Cancer,%,Age-adjusted Prevalence,,
CT,Connecticut,BRFSS,Cancer,%,Age-adjusted Prevalence,,
CT,Connecticut,BRFSS,Cancer,%,Age-adjusted Prevalence,,
CT,Connecticut,BRFSS,Cancer,%,Age-adjusted Prevalence,,
CT,Connecticut,BRFSS,Cancer,%,Age-adjusted Prevalence,,
CT,Connecticut,BRFSS,Cancer,%,Age-adjusted Prevalence,,
CT,Connecticut,BRFSS,Cancer,%,Age-adjusted Prevalence,,
DC,District of Columbia,BRFSS,Cancer,%,Age-adjusted Prevalence,,
DC,District of Columbia,BRFSS,Cancer,%,Age-adjusted Prevalence,,
DC,District of Columbia,BRFSS,Cancer,%,Age-adjusted Prevalence,,
DC,District of Columbia,BRFSS,Cancer,%,Age-adjusted Prevalence,,
DC,District of Columbia,BRFSS,Cancer,%,Age-adjusted Prevalence,,
DC,District of Columbia,BRFSS,Cancer,%,Age-adjusted Prevalence,,
DE,Delaware,BRFSS,Cancer,%,Age-adjusted Prevalence,,
DE,Delaware,BRFSS,Cancer,%,Age-adjusted Prevalence,,
DE,Delaware,BRFSS,Cancer,%,Age-adjusted Prevalence,,
DE,Delaware,BRFSS,Cancer,%,Age-adjusted Prevalence,,
DE,Delaware,BRFSS,Cancer,%,Age-adjusted Prevalence,,
DE,Delaware,BRFSS,Cancer,%,Age-adjusted Prevalence,,
FL,Florida,BRFSS,Cancer,%,Age-adjusted Prevalence,,
FL,Florida,BRFSS,Cancer,%,Age-adjusted Prevalence,,
FL,Florida,BRFSS,Cancer,%,Age-adjusted Prevalence,,
FL,Florida,BRFSS,Cancer,%,Age-adjusted Prevalence,,
FL,Florida,BRFSS,Cancer,%,Age-adjusted Prevalence,,
FL,Florida,BRFSS,Cancer,%,Age-adjusted Prevalence,,
GA,Georgia,BRFSS,Cancer,%,Age-adjusted Prevalence,86.9,86.9
GA,Georgia,BRFSS,Cancer,%,Age-adjusted Prevalence,,
GA,Georgia,BRFSS,Cancer,%,Age-adjusted Prevalence,,
GA,Georgia,BRFSS,Cancer,%,Age-adjusted Prevalence,,
GA,Georgia,BRFSS,Cancer,%,Age-adjusted Prevalence,77.5,77.5
GA,Georgia,BRFSS,Cancer,%,Age-adjusted Prevalence,73.8,73.8
GU,Guam,BRFSS,Cancer,%,Age-adjusted Prevalence,,
GU,Guam,BRFSS,Cancer,%,Age-adjusted Prevalence,,
GU,Guam,BRFSS,Cancer,%,Age-adjusted Prevalence,,
GU,Guam,BRFSS,Cancer,%,Age-adjusted Prevalence,,
GU,Guam,BRFSS,Cancer,%,Age-adjusted Prevalence,,
HI,Hawaii,BRFSS,Cancer,%,Age-adjusted Prevalence,,
HI,Hawaii,BRFSS,Cancer,%,Age-adjusted Prevalence,83.5,83.5
HI,Hawaii,BRFSS,Cancer,%,Age-adjusted Prevalence,84.4,84.4
HI,Hawaii,BRFSS,Cancer,%,Age-adjusted Prevalence,91.3,91.3
HI,Hawaii,BRFSS,Cancer,%,Age-adjusted Prevalence,85.9,85.9
HI,Hawaii,BRFSS,Cancer,%,Age-adjusted Prevalence,79.4,79.4
IA,Iowa,BRFSS,Cancer,%,Age-adjusted Prevalence,,
IA,Iowa,BRFSS,Cancer,%,Age-adjusted Prevalence,,
IA,Iowa,BRFSS,Cancer,%,Age-adjusted Prevalence,,
IA,Iowa,BRFSS,Cancer,%,Age-adjusted Prevalence,,
IA,Iowa,BRFSS,Cancer,%,Age-adjusted Prevalence,,
IA,Iowa,BRFSS,Cancer,%,Age-adjusted Prevalence,,
ID,Idaho,BRFSS,Cancer,%,Age-adjusted Prevalence,,
ID,Idaho,BRFSS,Cancer,%,Age-adjusted Prevalence,,
ID,Idaho,BRFSS,Cancer,%,Age-adjusted Prevalence,,
ID,Idaho,BRFSS,Cancer,%,Age-adjusted Prevalence,,
ID,Idaho,BRFSS,Cancer,%,Age-adjusted Prevalence,,
ID,Idaho,BRFSS,Cancer,%,Age-adjusted Prevalence,,
IL,Illinois,BRFSS,Cancer,%,Age-adjusted Prevalence,,
IL,Illinois,BRFSS,Cancer,%,Age-adjusted Prevalence,,
IL,Illinois,BRFSS,Cancer,%,Age-adjusted Prevalence,,
IL,Illinois,BRFSS,Cancer,%,Age-adjusted Prevalence,,
IL,Illinois,BRFSS,Cancer,%,Age-adjusted Prevalence,,
IN,Indiana,BRFSS,Cancer,%,Age-adjusted Prevalence,,
IN,Indiana,BRFSS,Cancer,%,Age-adjusted Prevalence,,
IN,Indiana,BRFSS,Cancer,%,Age-adjusted Prevalence,,
IN,Indiana,BRFSS,Cancer,%,Age-adjusted Prevalence,,
IN,Indiana,BRFSS,Cancer,%,Age-adjusted Prevalence,,
IN,Indiana,BRFSS,Cancer,%,Age-adjusted Prevalence,,
KS,Kansas,BRFSS,Cancer,%,Age-adjusted Prevalence,,
KS,Kansas,BRFSS,Cancer,%,Age-adjusted Prevalence,,
KS,Kansas,BRFSS,Cancer,%,Age-adjusted Prevalence,,
KS,Kansas,BRFSS,Cancer,%,Age-adjusted Prevalence,,
KS,Kansas,BRFSS,Cancer,%,Age-adjusted Prevalence,,
KS,Kansas,BRFSS,Cancer,%,Age-adjusted Prevalence,,
KY,Kentucky,BRFSS,Cancer,%,Age-adjusted Prevalence,,
KY,Kentucky,BRFSS,Cancer,%,Age-adjusted Prevalence,,
KY,Kentucky,BRFSS,Cancer,%,Age-adjusted Prevalence,,
KY,Kentucky,BRFSS,Cancer,%,Age-adjusted Prevalence,,
KY,Kentucky,BRFSS,Cancer,%,Age-adjusted Prevalence,,
KY,Kentucky,BRFSS,Cancer,%,Age-adjusted Prevalence,,
LA,Louisiana,BRFSS,Cancer,%,Age-adjusted Prevalence,,
LA,Louisiana,BRFSS,Cancer,%,Age-adjusted Prevalence,,
LA,Louisiana,BRFSS,Cancer,%,Age-adjusted Prevalence,,
LA,Louisiana,BRFSS,Cancer,%,Age-adjusted Prevalence,,
LA,Louisiana,BRFSS,Cancer,%,Age-adjusted Prevalence,,
LA,Louisiana,BRFSS,Cancer,%,Age-adjusted Prevalence,,
MA,Massachusetts,BRFSS,Cancer,%,Age-adjusted Prevalence,,
MA,Massachusetts,BRFSS,Cancer,%,Age-adjusted Prevalence,,
MA,Massachusetts,BRFSS,Cancer,%,Age-adjusted Prevalence,,
MA,Massachusetts,BRFSS,Cancer,%,Age-adjusted Prevalence,,
MA,Massachusetts,BRFSS,Cancer,%,Age-adjusted Prevalence,,
MA,Massachusetts,BRFSS,Cancer,%,Age-adjusted Prevalence,,
MD,Maryland,BRFSS,Cancer,%,Age-adjusted Prevalence,,
MD,Maryland,BRFSS,Cancer,%,Age-adjusted Prevalence,,
MD,Maryland,BRFSS,Cancer,%,Age-adjusted Prevalence,,
MD,Maryland,BRFSS,Cancer,%,Age-adjusted Prevalence,,
MD,Maryland,BRFSS,Cancer,%,Age-adjusted Prevalence,,
MD,Maryland,BRFSS,Cancer,%,Age-adjusted Prevalence,,
ME,Maine,BRFSS,Cancer,%,Age-adjusted Prevalence,,
ME,Maine,BRFSS,Cancer,%,Age-adjusted Prevalence,,
ME,Maine,BRFSS,Cancer,%,Age-adjusted Prevalence,,
ME,Maine,BRFSS,Cancer,%,Age-adjusted Prevalence,,
ME,Maine,BRFSS,Cancer,%,Age-adjusted Prevalence,,
ME,Maine,BRFSS,Cancer,%,Age-adjusted Prevalence,,
MI,Michigan,BRFSS,Cancer,%,Age-adjusted Prevalence,,
MI,Michigan,BRFSS,Cancer,%,Age-adjusted Prevalence,,
MI,Michigan,BRFSS,Cancer,%,Age-adjusted Prevalence,,
MI,Michigan,BRFSS,Cancer,%,Age-adjusted Prevalence,,
MI,Michigan,BRFSS,Cancer,%,Age-adjusted Prevalence,,
MI,Michigan,BRFSS,Cancer,%,Age-adjusted Prevalence,,
MN,Minnesota,BRFSS,Cancer,%,Age-adjusted Prevalence,,
MN,Minnesota,BRFSS,Cancer,%,Age-adjusted Prevalence,,
MN,Minnesota,BRFSS,Cancer,%,Age-adjusted Prevalence,,
MN,Minnesota,BRFSS,Cancer,%,Age-adjusted Prevalence,,
MN,Minnesota,BRFSS,Cancer,%,Age-adjusted Prevalence,,
MN,Minnesota,BRFSS,Cancer,%,Age-adjusted Prevalence,,
MO,Missouri,BRFSS,Cancer,%,Age-adjusted Prevalence,,
MO,Missouri,BRFSS,Cancer,%,Age-adjusted Prevalence,,
MO,Missouri,BRFSS,Cancer,%,Age-adjusted Prevalence,,
MO,Missouri,BRFSS,Cancer,%,Age-adjusted Prevalence,,
MO,Missouri,BRFSS,Cancer,%,Age-adjusted Prevalence,,
MO,Missouri,BRFSS,Cancer,%,Age-adjusted Prevalence,,
MS,Mississippi,BRFSS,Cancer,%,Age-adjusted Prevalence,,
MS,Mississippi,BRFSS,Cancer,%,Age-adjusted Prevalence,,
MS,Mississippi,BRFSS,Cancer,%,Age-adjusted Prevalence,,
MS,Mississippi,BRFSS,Cancer,%,Age-adjusted Prevalence,,
MS,Mississippi,BRFSS,Cancer,%,Age-adjusted Prevalence,,
MS,Mississippi,BRFSS,Cancer,%,Age-adjusted Prevalence,,
MT,Montana,BRFSS,Cancer,%,Age-adjusted Prevalence,,
MT,Montana,BRFSS,Cancer,%,Age-adjusted Prevalence,,
MT,Montana,BRFSS,Cancer,%,Age-adjusted Prevalence,,
MT,Montana,BRFSS,Cancer,%,Age-adjusted Prevalence,,
MT,Montana,BRFSS,Cancer,%,Age-adjusted Prevalence,,
MT,Montana,BRFSS,Cancer,%,Age-adjusted Prevalence,,
NC,North Carolina,BRFSS,Cancer,%,Age-adjusted Prevalence,,
NC,North Carolina,BRFSS,Cancer,%,Age-adjusted Prevalence,,
NC,North Carolina,BRFSS,Cancer,%,Age-adjusted Prevalence,,
NC,North Carolina,BRFSS,Cancer,%,Age-adjusted Prevalence,,
NC,North Carolina,BRFSS,Cancer,%,Age-adjusted Prevalence,,
NC,North Carolina,BRFSS,Cancer,%,Age-adjusted Prevalence,,
