LocationAbbr,LocationDesc,DataSource,Topic,DataValueUnit,DataValueType,DataValue,DataValueAlt
AK,Alaska,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
AK,Alaska,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.2,2.2
AK,Alaska,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
AK,Alaska,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2,2
AK,Alaska,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
AK,Alaska,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,1.7,1.7
AK,Alaska,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.1,2.1
AK,Alaska,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,1.6,1.6
AL,Alabama,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,3.8,3.8
AL,Alabama,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.6,2.6
AL,Alabama,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
AL,Alabama,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.6,2.6
AL,Alabama,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
AL,Alabama,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
AL,Alabama,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.6,2.6
AL,Alabama,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.2,2.2
AR,Arkansas,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
AR,Arkansas,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,3.5,3.5
AR,Arkansas,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
AR,Arkansas,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.5,2.5
AR,Arkansas,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
AR,Arkansas,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
AR,Arkansas,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,3,3
AR,Arkansas,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.7,2.7
AZ,Arizona,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
AZ,Arizona,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,3.9,3.9
AZ,Arizona,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.8,2.8
AZ,Arizona,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,3,3
AZ,Arizona,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
AZ,Arizona,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
AZ,Arizona,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,3.5,3.5
AZ,Arizona,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,3.4,3.4
CA,California,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.5,2.5
CA,California,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.4,2.4
CA,California,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.3,2.3
CA,California,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.3,2.3
CA,California,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
CA,California,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,1.6,1.6
CA,California,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.3,2.3
CA,California,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.5,2.5
CO,Colorado,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
CO,Colorado,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.7,2.7
CO,Colorado,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.8,2.8
CO,Colorado,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.1,2.1
CO,Colorado,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
CO,Colorado,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
CO,Colorado,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.4,2.4
CO,Colorado,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.2,2.2
CT,Connecticut,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,1.5,1.5
CT,Connecticut,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,1.5,1.5
CT,Connecticut,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,3.1,3.1
CT,Connecticut,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2,2
CT,Connecticut,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
CT,Connecticut,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
CT,Connecticut,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,1.7,1.7
CT,Connecticut,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,1.5,1.5
DC,District of Columbia,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,4.4,4.4
DC,District of Columbia,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.8,2.8
DC,District of Columbia,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
DC,District of Columbia,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.9,2.9
FL,Florida,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.4,2.4
DC,District of Columbia,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
DC,District of Columbia,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
DC,District of Columbia,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.9,2.9
DC,District of Columbia,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,1.2,1.2
DE,Delaware,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.6,2.6
DE,Delaware,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.8,2.8
DE,Delaware,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
DE,Delaware,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,3.8,3.8
DE,Delaware,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
DE,Delaware,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
DE,Delaware,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,3.2,3.2
DE,Delaware,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,3.5,3.5
FL,Florida,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,1.2,1.2
FL,Florida,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.6,2.6
FL,Florida,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,4.4,4.4
FL,Florida,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.6,2.6
FL,Florida,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
FL,Florida,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
FL,Florida,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.6,2.6
GA,Georgia,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,3.1,3.1
GA,Georgia,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.9,2.9
GA,Georgia,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
GA,Georgia,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,3,3
GA,Georgia,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
GA,Georgia,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
GA,Georgia,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,3,3
GA,Georgia,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.7,2.7
GU,Guam,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
GU,Guam,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,4.2,4.2
GU,Guam,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
GU,Guam,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,5.1,5.1
GU,Guam,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
GU,Guam,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,4.8,4.8
GU,Guam,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,4.6,4.6
GU,Guam,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
HI,Hawaii,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
HI,Hawaii,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,3.4,3.4
HI,Hawaii,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,4.4,4.4
HI,Hawaii,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.5,2.5
HI,Hawaii,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,3.5,3.5
HI,Hawaii,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,3,3
HI,Hawaii,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.9,2.9
HI,Hawaii,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,1.9,1.9
IA,Iowa,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
IA,Iowa,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,1.7,1.7
IA,Iowa,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
IA,Iowa,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,1.7,1.7
IA,Iowa,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
IA,Iowa,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,0,0
IA,Iowa,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,1.7,1.7
IA,Iowa,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,1.6,1.6
ID,Idaho,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
ID,Idaho,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.2,2.2
ID,Idaho,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
ID,Idaho,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,1.2,1.2
ID,Idaho,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
ID,Idaho,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
ID,Idaho,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,1.7,1.7
ID,Idaho,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,1.7,1.7
IL,Illinois,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.2,2.2
IL,Illinois,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.3,2.3
IL,Illinois,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,5.7,5.7
IL,Illinois,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.7,2.7
IL,Illinois,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
IL,Illinois,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
IL,Illinois,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.5,2.5
IL,Illinois,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.1,2.1
IN,Indiana,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,3.5,3.5
IN,Indiana,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,3.2,3.2
IN,Indiana,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,0,0
IN,Indiana,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.2,2.2
IN,Indiana,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
IN,Indiana,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
IN,Indiana,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.7,2.7
IN,Indiana,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.7,2.7
KS,Kansas,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,5,5
KS,Kansas,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,3.2,3.2
KS,Kansas,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,3.7,3.7
KS,Kansas,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.4,2.4
KS,Kansas,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,4.7,4.7
KS,Kansas,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
KS,Kansas,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.8,2.8
KS,Kansas,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.5,2.5
KY,Kentucky,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
KY,Kentucky,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,3.3,3.3
KY,Kentucky,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,0,0
KY,Kentucky,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.3,2.3
KY,Kentucky,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
KY,Kentucky,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
KY,Kentucky,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.8,2.8
KY,Kentucky,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.9,2.9
LA,Louisiana,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,3.7,3.7
LA,Louisiana,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.4,2.4
LA,Louisiana,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
LA,Louisiana,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.8,2.8
LA,Louisiana,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
LA,Louisiana,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
LA,Louisiana,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.6,2.6
LA,Louisiana,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.1,2.1
MA,Massachusetts,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
MA,Massachusetts,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.4,2.4
MA,Massachusetts,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,5.4,5.4
MA,Massachusetts,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.1,2.1
MA,Massachusetts,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
MA,Massachusetts,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
MA,Massachusetts,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.2,2.2
MA,Massachusetts,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.1,2.1
MD,Maryland,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,1.9,1.9
MD,Maryland,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.4,2.4
MD,Maryland,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
MD,Maryland,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,1.9,1.9
MD,Maryland,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
MD,Maryland,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
MD,Maryland,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.2,2.2
MD,Maryland,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.3,2.3
ME,Maine,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
ME,Maine,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.6,2.6
ME,Maine,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,0,0
ME,Maine,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,1.8,1.8
ME,Maine,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
ME,Maine,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
ME,Maine,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.2,2.2
ME,Maine,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.3,2.3
MI,Michigan,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,4.6,4.6
MI,Michigan,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,3.4,3.4
MI,Michigan,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
MI,Michigan,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.8,2.8
MI,Michigan,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
MI,Michigan,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
MI,Michigan,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,3.1,3.1
MI,Michigan,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.9,2.9
MN,Minnesota,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
MN,Minnesota,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2,2
MN,Minnesota,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
MN,Minnesota,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,1.7,1.7
MN,Minnesota,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
MN,Minnesota,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
MN,Minnesota,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,1.9,1.9
MN,Minnesota,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,1.8,1.8
MO,Missouri,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.4,2.4
MO,Missouri,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.8,2.8
MO,Missouri,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
MO,Missouri,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.3,2.3
MO,Missouri,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
MO,Missouri,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
MO,Missouri,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.6,2.6
MO,Missouri,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.6,2.6
MS,Mississippi,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.5,2.5
MS,Mississippi,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,3.1,3.1
MS,Mississippi,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
MS,Mississippi,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.3,2.3
MS,Mississippi,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
MS,Mississippi,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
MS,Mississippi,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.7,2.7
MS,Mississippi,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.7,2.7
MT,Montana,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
MT,Montana,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2,2
MT,Montana,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,0,0
MT,Montana,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.5,2.5
MT,Montana,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
MT,Montana,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,8,8
MT,Montana,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.3,2.3
MT,Montana,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,1.9,1.9
NC,North Carolina,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.5,2.5
NC,North Carolina,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.8,2.8
NC,North Carolina,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
NC,North Carolina,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.5,2.5
NC,North Carolina,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
NC,North Carolina,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
NC,North Carolina,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.6,2.6
NC,North Carolina,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.6,2.6
ND,North Dakota,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
ND,North Dakota,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.5,2.5
ND,North Dakota,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
ND,North Dakota,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.1,2.1
ND,North Dakota,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
ND,North Dakota,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
ND,North Dakota,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.3,2.3
ND,North Dakota,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.1,2.1
NE,Nebraska,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
NE,Nebraska,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.3,2.3
NE,Nebraska,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,1.9,1.9
NE,Nebraska,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.1,2.1
NE,Nebraska,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
NE,Nebraska,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
NE,Nebraska,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.2,2.2
NE,Nebraska,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,2.2,2.2
NH,New Hampshire,BRFSS,Chronic Kidney Disease,%,Age-adjusted Prevalence,,
