LocationAbbr,LocationDesc,DataSource,Topic,DataValueUnit,DataValueType,DataValue
AL,Alabama,YRBSS,Alcohol,%,Crude Prevalence,30.7
AL,Alabama,YRBSS,Alcohol,%,Crude Prevalence,16.1
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,12.4
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,8.1
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,16.7
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,12.2
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,12.6
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,12.7
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,7.5
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,16.2
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,11.6
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,11.2
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,12.4
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,11.5
AL,Alabama,BRFSS,Alcohol,%,Crude Prevalence,11.1
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,5.3
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,4
AL,Alabama,BRFSS,Alcohol,%,Age-adjusted Prevalence,
