LocationAbbr,LocationDesc,DataSource,Topic,DataValueUnit,DataValueType,DataValue,DataValueAlt
AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,39.1,39.1
AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,30.6,30.6
AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,25.3,25.3
AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,29.9,29.9
AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,34.1,34.1
AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,37.6,37.6
AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,30.3,30.3
AK,Alaska,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,28.5,28.5
AL,Alabama,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,47,47
AL,Alabama,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,37,37
AL,Alabama,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,28.3,28.3
AL,Alabama,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,34.9,34.9
AL,Alabama,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,37.6,37.6
AL,Alabama,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,23.7,23.7
AL,Alabama,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,35.9,35.9
AL,Alabama,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,32.4,32.4
AR,Arkansas,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,41.4,41.4
AR,Arkansas,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,34.2,34.2
AR,Arkansas,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,37.8,37.8
AR,Arkansas,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,35.3,35.3
AR,Arkansas,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,43.5,43.5
AR,Arkansas,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,29.2,29.2
AR,Arkansas,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,34.8,34.8
AR,Arkansas,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,33.4,33.4
AZ,Arizona,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,32.7,32.7
AZ,Arizona,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,27.5,27.5
AZ,Arizona,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,36.3,36.3
AZ,Arizona,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,30.1,30.1
AZ,Arizona,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,33.8,33.8
AZ,Arizona,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,28.9,28.9
AZ,Arizona,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,28.9,28.9
AZ,Arizona,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,25.4,25.4
CA,California,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,31.5,31.5
CA,California,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,23.7,23.7
CA,California,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,32.1,32.1
CA,California,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,24.8,24.8
CA,California,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,27.7,27.7
CA,California,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,11.7,11.7
CA,California,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,24.3,24.3
CA,California,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,21.8,21.8
CO,Colorado,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,23.2,23.2
CO,Colorado,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,20.1,20.1
CO,Colorado,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,28.3,28.3
CO,Colorado,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,20.3,20.3
CO,Colorado,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,29,29
CO,Colorado,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,13.6,13.6
CO,Colorado,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,20.2,20.2
CO,Colorado,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,18.3,18.3
CT,Connecticut,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,36.7,36.7
CT,Connecticut,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,23.6,23.6
CT,Connecticut,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,30.7,30.7
CT,Connecticut,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,26.4,26.4
CT,Connecticut,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,34.8,34.8
CT,Connecticut,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,14,14
CT,Connecticut,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,25,25
CT,Connecticut,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,23.1,23.1
DC,District of Columbia,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,34.7,34.7
DC,District of Columbia,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,27.9,27.9
DC,District of Columbia,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,21,21
DC,District of Columbia,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,19,19
DC,District of Columbia,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,20.6,20.6
DC,District of Columbia,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,22.2,22.2
DC,District of Columbia,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,23.5,23.5
DC,District of Columbia,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,11,11
DE,Delaware,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,32.8,32.8
DE,Delaware,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,30.9,30.9
DE,Delaware,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,35.4,35.4
DE,Delaware,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,28.2,28.2
DE,Delaware,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,,
DE,Delaware,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,17.4,17.4
DE,Delaware,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,29.5,29.5
DE,Delaware,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,29,29
FL,Florida,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,35.6,35.6
FL,Florida,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,25.6,25.6
FL,Florida,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,25.9,25.9
FL,Florida,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,27.4,27.4
FL,Florida,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,27.8,27.8
FL,Florida,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,11.2,11.2
FL,Florida,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,26.5,26.5
FL,Florida,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,25.3,25.3
GA,Georgia,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,37.5,37.5
GA,Georgia,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,32.2,32.2
GA,Georgia,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,32.7,32.7
GA,Georgia,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,28.9,28.9
GA,Georgia,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,28.4,28.4
GA,Georgia,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,23.3,23.3
GA,Georgia,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,30.5,30.5
GA,Georgia,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,26.8,26.8
GU,Guam,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,,
GU,Guam,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,29,29
GU,Guam,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,33.5,33.5
GU,Guam,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,33,33
GU,Guam,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,34.3,34.3
GU,Guam,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,30,30
GU,Guam,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,31,31
GU,Guam,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,29.5,29.5
HI,Hawaii,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,,
HI,Hawaii,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,19.9,19.9
HI,Hawaii,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,33.2,33.2
HI,Hawaii,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,26.2,26.2
HI,Hawaii,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,33.5,33.5
HI,Hawaii,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,20.5,20.5
HI,Hawaii,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,23.2,23.2
HI,Hawaii,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,16.3,16.3
IA,Iowa,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,33.2,33.2
IA,Iowa,BRFSS,"Nutrition, Physical Activity, and Weight Status",%,Age-adjusted Prevalence,30.1,30.1
