LocationAbbr,LocationDesc,DataSource,Topic,DataValueUnit,DataValueType,DataValue,DataValueAlt
AZ,Arizona,BRFSS,Tobacco,%,Crude Prevalence,14,14
US,United States,BRFSS,Tobacco,%,Crude Prevalence,15.8,15.8
US,United States,BRFSS,Tobacco,%,Crude Prevalence,19.3,19.3
GU,Guam,YRBSS,Tobacco,%,Crude Prevalence,17.6,17.6
HI,Hawaii,YRBSS,Tobacco,%,Crude Prevalence,9.7,9.7
US,United States,BRFSS,Tobacco,%,Crude Prevalence,17.5,17.5
IA,Iowa,YRBSS,Tobacco,%,Crude Prevalence,,
ID,Idaho,YRBSS,Tobacco,%,Crude Prevalence,9.7,9.7
IL,Illinois,YRBSS,Tobacco,%,Crude Prevalence,10.1,10.1
MD,Maryland,BRFSS,Tobacco,%,Crude Prevalence,15,15
IN,Indiana,YRBSS,Tobacco,%,Crude Prevalence,11.2,11.2
KS,Kansas,YRBSS,Tobacco,%,Crude Prevalence,,
KY,Kentucky,YRBSS,Tobacco,%,Crude Prevalence,16.9,16.9
LA,Louisiana,YRBSS,Tobacco,%,Crude Prevalence,,
MA,Massachusetts,YRBSS,Tobacco,%,Crude Prevalence,7.7,7.7
MD,Maryland,YRBSS,Tobacco,%,Crude Prevalence,8.7,8.7
ME,Maine,YRBSS,Tobacco,%,Crude Prevalence,11.2,11.2
MI,Michigan,YRBSS,Tobacco,%,Crude Prevalence,10,10
MN,Minnesota,YRBSS,Tobacco,%,Crude Prevalence,,
MO,Missouri,YRBSS,Tobacco,%,Crude Prevalence,11,11
MS,Mississippi,YRBSS,Tobacco,%,Crude Prevalence,15.2,15.2
MT,Montana,YRBSS,Tobacco,%,Crude Prevalence,13.1,13.1
NC,North Carolina,YRBSS,Tobacco,%,Crude Prevalence,13.1,13.1
ND,North Dakota,YRBSS,Tobacco,%,Crude Prevalence,11.7,11.7
UT,Utah,BRFSS,Tobacco,%,Crude Prevalence,0.5,0.5
NE,Nebraska,YRBSS,Tobacco,%,Crude Prevalence,13.3,13.3
GU,Guam,BRFSS,Tobacco,%,Crude Prevalence,67.1,67.1
