LocationAbbr,LocationDesc,DataSource,Topic,DataValueUnit,DataValueType,DataValue,DataValueAlt
GA,Georgia,BRFSS,Diabetes,%,Crude Prevalence,4.2,4.2
MO,Missouri,BRFSS,Diabetes,%,Crude Prevalence,7.2,7.2
NY,New York,BRFSS,Diabetes,%,Crude Prevalence,4.7,4.7
TX,Texas,BRFSS,Diabetes,%,Crude Prevalence,5.5,5.5
IL,Illinois,BRFSS,Diabetes,%,Crude Prevalence,69,69
TN,Tennessee,BRFSS,Diabetes,%,Crude Prevalence,69,69
ME,Maine,BRFSS,Diabetes,%,Crude Prevalence,73,73
CA,California,BRFSS,Diabetes,%,Age-adjusted Prevalence,9.7,9.7
UT,Utah,BRFSS,Diabetes,%,Crude Prevalence,64.4,64.4
DC,District of Columbia,BRFSS,Diabetes,%,Age-adjusted Prevalence,9.2,9.2
IA,Iowa,BRFSS,Diabetes,%,Age-adjusted Prevalence,7.3,7.3
AR,Arkansas,BRFSS,Diabetes,%,Age-adjusted Prevalence,,
WI,Wisconsin,BRFSS,Diabetes,%,Crude Prevalence,60,60
GU,Guam,BRFSS,Diabetes,%,Age-adjusted Prevalence,40.5,40.5
ID,Idaho,BRFSS,Diabetes,%,Age-adjusted Prevalence,,
ID,Idaho,BRFSS,Diabetes,%,Age-adjusted Prevalence,,
OH,Ohio,BRFSS,Diabetes,%,Crude Prevalence,80.7,80.7
VI,Virgin Islands,BRFSS,Diabetes,%,Crude Prevalence,,
OR,Oregon,BRFSS,Diabetes,%,Age-adjusted Prevalence,,
AL,Alabama,BRFSS,Diabetes,%,Age-adjusted Prevalence,12.1,12.1
DC,District of Columbia,BRFSS,Diabetes,%,Age-adjusted Prevalence,9,9
SD,South Dakota,BRFSS,Diabetes,%,Age-adjusted Prevalence,,
AR,Arkansas,BRFSS,Diabetes,%,Age-adjusted Prevalence,,
AR,Arkansas,BRFSS,Diabetes,%,Age-adjusted Prevalence,,
AK,Alaska,BRFSS,Diabetes,%,Age-adjusted Prevalence,,
AK,Alaska,BRFSS,Diabetes,%,Age-adjusted Prevalence,,
AK,Alaska,BRFSS,Diabetes,%,Age-adjusted Prevalence,,
AK,Alaska,BRFSS,Diabetes,%,Age-adjusted Prevalence,,
AK,Alaska,BRFSS,Diabetes,%,Age-adjusted Prevalence,,
AK,Alaska,BRFSS,Diabetes,%,Age-adjusted Prevalence,,
AK,Alaska,BRFSS,Diabetes,%,Age-adjusted Prevalence,,
AK,Alaska,BRFSS,Diabetes,%,Age-adjusted Prevalence,,
AL,Alabama,BRFSS,Diabetes,%,Age-adjusted Prevalence,,
AL,Alabama,BRFSS,Diabetes,%,Age-adjusted Prevalence,,
AL,Alabama,BRFSS,Diabetes,%,Age-adjusted Prevalence,,
AL,Alabama,BRFSS,Diabetes,%,Age-adjusted Prevalence,,
AL,Alabama,BRFSS,Diabetes,%,Age-adjusted Prevalence,,
AL,Alabama,BRFSS,Diabetes,%,Age-adjusted Prevalence,,
AL,Alabama,BRFSS,Diabetes,%,Age-adjusted Prevalence,,
AL,Alabama,BRFSS,Diabetes,%,Age-adjusted Prevalence,,
AR,Arkansas,BRFSS,Diabetes,%,Age-adjusted Prevalence,,
AR,Arkansas,BRFSS,Diabetes,%,Age-adjusted Prevalence,,
AR,Arkansas,BRFSS,Diabetes,%,Age-adjusted Prevalence,,
AR,Arkansas,BRFSS,Diabetes,%,Age-adjusted Prevalence,,
AR,Arkansas,BRFSS,Diabetes,%,Age-adjusted Prevalence,,
AZ,Arizona,BRFSS,Diabetes,%,Age-adjusted Prevalence,,
